80,7.90
mixamorig:RightHand\JointController\antTorqueX,mixamorig:RightHand\JointController\antTorqueY,mixamorig:RightHand\JointController\antTorqueZ,mixamorig:RightForeArm\JointController\antTorqueX,mixamorig:RightForeArm\JointController\antTorqueY,mixamorig:RightForeArm\JointController\antTorqueZ,mixamorig:RightArm\JointController\antTorqueX,mixamorig:RightArm\JointController\antTorqueY,mixamorig:RightArm\JointController\antTorqueZ,mixamorig:LeftHand\JointController\antTorqueX,mixamorig:LeftHand\JointController\antTorqueY,mixamorig:LeftHand\JointController\antTorqueZ,mixamorig:LeftForeArm\JointController\antTorqueX,mixamorig:LeftForeArm\JointController\antTorqueY,mixamorig:LeftForeArm\JointController\antTorqueZ,mixamorig:LeftArm\JointController\antTorqueX,mixamorig:LeftArm\JointController\antTorqueY,mixamorig:LeftArm\JointController\antTorqueZ,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierLeft,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierRight
0.15,-0.03,0.52,2.49,0.64,3.85,9.98,-0.38,3.18,-0.25,-0.01,0.34,-3.26,-0.56,2.99,-13.64,1.71,12.58,0.05,0.05
-0.02,0.01,0.33,2.59,0.65,3.70,10.50,-0.23,4.96,-0.22,-0.03,0.16,-3.26,-0.57,2.92,-13.71,1.61,12.46,0.05,0.05
-0.05,0.04,0.19,2.65,0.71,3.62,10.81,-0.10,5.89,-0.22,-0.03,0.04,-3.25,-0.59,2.88,-13.73,1.56,12.38,0.05,0.05
0.00,0.05,0.09,2.67,0.77,3.59,10.91,-0.01,6.12,-0.23,-0.04,-0.02,-3.25,-0.61,2.86,-13.76,1.52,12.33,0.05,0.05
0.09,0.05,0.02,2.66,0.82,3.59,10.89,0.03,5.86,-0.25,-0.04,-0.04,-3.26,-0.63,2.85,-13.79,1.50,12.29,0.05,0.05
0.20,0.04,-0.01,2.64,0.86,3.60,10.83,0.04,5.31,-0.27,-0.04,-0.05,-3.27,-0.64,2.84,-13.81,1.49,12.27,0.05,0.05
0.28,0.03,0.00,2.63,0.88,3.62,10.73,0.02,4.79,-0.28,-0.04,-0.06,-3.27,-0.65,2.84,-13.82,1.47,12.27,0.05,0.05
0.33,0.02,0.01,2.62,0.89,3.63,10.69,0.00,4.35,-0.30,-0.04,-0.06,-3.27,-0.65,2.84,-13.82,1.47,12.26,0.05,0.05
0.28,0.02,0.05,4.14,0.91,4.40,7.97,0.06,4.27,-0.31,-0.03,-0.08,-3.28,-0.65,3.03,-13.83,1.41,12.25,0.05,0.05
0.40,0.02,0.19,5.78,1.06,6.67,5.59,-0.34,4.06,-0.32,-0.04,-0.06,-3.22,-0.67,7.23,-13.55,0.87,12.04,0.05,0.05
0.58,0.00,0.14,5.05,1.17,8.49,6.88,-0.89,4.73,-0.43,-0.04,0.11,-3.12,-0.70,9.97,-13.09,1.01,11.76,0.05,0.05
0.49,-0.01,0.08,6.62,1.18,14.82,6.47,-1.45,2.67,-0.55,-0.04,-0.08,-11.75,-0.77,14.28,-12.61,1.14,11.24,0.05,0.05
0.46,-0.02,-0.16,6.91,1.27,14.02,8.09,-1.96,3.69,-0.58,-0.03,-0.02,-12.05,-0.77,14.46,-12.14,2.00,10.70,0.05,0.05
0.56,-0.06,-0.18,6.27,1.36,13.34,9.73,-2.21,4.88,-0.63,-0.02,-0.22,-8.99,-0.79,14.14,-11.99,2.55,9.97,0.05,0.05
0.62,-0.07,-0.19,5.89,1.42,12.80,10.63,-2.21,5.61,-0.69,-0.02,-0.33,-6.97,-0.81,13.83,-11.92,2.81,9.37,0.05,0.05
0.68,-0.09,-0.19,5.52,1.47,12.32,11.30,-2.11,6.21,-0.75,-0.02,-0.39,-5.49,-0.84,13.54,-11.86,2.94,8.84,0.05,0.05
0.75,-0.09,-0.23,5.26,1.50,12.01,11.49,-2.10,5.74,-0.80,-0.02,-0.47,-4.82,-0.85,13.25,-11.72,2.93,8.32,0.05,0.05
0.84,-0.09,-0.27,5.05,1.54,11.72,11.55,-2.07,5.15,-0.86,-0.02,-0.54,-4.26,-0.87,12.98,-11.51,2.91,7.81,0.05,0.05
0.93,-0.09,-0.31,4.94,1.57,11.45,11.45,-2.00,4.50,-0.91,-0.03,-0.61,-3.92,-0.87,12.74,-11.24,2.88,7.31,0.05,0.05
1.01,-0.10,-0.33,4.51,1.59,11.17,11.44,-1.92,4.06,-0.96,-0.03,-0.65,-3.32,-0.87,12.52,-10.93,2.86,6.82,0.05,0.05
1.10,-0.11,-0.36,4.24,1.59,10.90,11.23,-1.80,3.51,-1.01,-0.03,-0.71,-2.98,-0.87,12.30,-10.58,2.78,6.34,0.05,0.05
1.18,-0.12,-0.41,4.09,1.57,10.61,10.84,-1.63,2.86,-1.06,-0.03,-0.78,-2.76,-0.85,12.07,-10.15,2.65,5.81,0.05,0.05
1.26,-0.13,-0.43,3.75,1.54,10.34,10.45,-1.45,2.41,-1.10,-0.03,-0.83,-2.43,-0.83,11.89,-9.72,2.53,5.33,0.05,0.05
1.34,-0.14,-0.45,3.61,1.50,10.10,9.97,-1.22,1.90,-1.12,-0.04,-0.88,-2.28,-0.80,11.80,-9.27,2.34,4.85,0.05,0.05
1.38,-0.15,-0.41,2.72,1.44,9.71,9.63,-1.01,1.65,-1.13,-0.05,-0.88,-1.85,-0.77,11.47,-9.00,2.00,4.38,0.05,0.05
1.34,-0.17,-0.36,2.17,1.36,9.63,9.44,-0.76,1.62,-1.13,-0.05,-0.89,-1.68,-0.74,11.27,-8.73,1.72,4.03,0.05,0.05
1.22,-0.17,-0.28,1.82,1.27,9.47,9.50,-0.47,1.59,-1.13,-0.05,-0.88,-1.58,-0.72,11.45,-8.39,1.59,3.74,0.05,0.05
1.09,-0.18,-0.18,1.31,1.18,9.30,9.42,-0.27,1.07,-1.12,-0.04,-0.86,-1.56,-0.71,11.44,-8.02,1.49,3.48,0.05,0.05
1.01,-0.18,-0.11,0.69,1.10,9.06,9.18,-0.10,0.36,-1.12,-0.03,-0.81,-1.61,-0.70,11.02,-7.70,1.36,3.21,0.05,0.05
0.94,-0.18,-0.06,0.32,1.05,9.01,8.85,0.06,-0.36,-1.12,-0.03,-0.76,-1.69,-0.69,10.84,-7.39,1.17,2.95,0.05,0.05
0.88,-0.16,-0.06,-0.60,1.01,9.17,8.56,0.16,-0.10,-1.12,-0.04,-0.78,-1.48,-0.67,10.66,-7.34,0.86,2.84,0.05,0.05
0.84,-0.16,-0.04,-1.39,0.97,9.14,8.31,0.29,0.21,-1.12,-0.04,-0.79,-1.34,-0.65,10.45,-7.25,0.68,2.78,0.05,0.05
0.77,-0.16,-0.02,-1.55,0.95,9.19,8.22,0.35,0.43,-1.12,-0.04,-0.80,-1.22,-0.64,10.39,-7.15,0.55,2.73,0.05,0.05
0.68,-0.15,-0.03,-1.40,0.92,9.23,8.19,0.38,0.60,-1.12,-0.04,-0.80,-1.07,-0.62,10.35,-7.07,0.45,2.70,0.05,0.05
0.59,-0.13,-0.05,-1.20,0.90,9.15,8.19,0.38,0.67,-1.12,-0.03,-0.77,-0.94,-0.61,10.23,-7.03,0.38,2.68,0.05,0.05
0.53,-0.11,-0.06,-1.20,0.88,9.08,8.17,0.41,0.66,-1.12,-0.03,-0.77,-0.80,-0.60,10.21,-6.96,0.32,2.67,0.05,0.05
0.48,-0.10,-0.06,-1.30,0.86,9.04,8.12,0.42,0.58,-1.12,-0.03,-0.78,-0.66,-0.59,10.27,-6.86,0.29,2.67,0.05,0.05
0.43,-0.09,-0.07,-1.42,0.85,9.07,8.05,0.42,0.55,-1.12,-0.02,-0.77,-0.52,-0.58,10.27,-6.77,0.29,2.66,0.05,0.05
0.39,-0.08,-0.07,-1.57,0.83,9.10,7.99,0.43,0.54,-1.12,-0.01,-0.75,-0.39,-0.57,10.28,-6.65,0.31,2.66,0.05,0.05
0.35,-0.08,-0.07,-1.68,0.81,9.21,7.93,0.44,0.60,-1.12,-0.01,-0.72,-0.29,-0.56,10.30,-6.56,0.34,2.64,0.05,0.05
0.31,-0.07,-0.07,-1.82,0.79,9.21,7.89,0.46,0.69,-1.12,0.00,-0.68,-0.21,-0.55,10.34,-6.49,0.38,2.62,0.05,0.05
0.28,-0.07,-0.07,-1.96,0.78,9.20,7.84,0.47,0.77,-1.11,0.01,-0.64,-0.13,-0.55,10.37,-6.42,0.41,2.61,0.05,0.05
0.25,-0.07,-0.07,-2.05,0.77,9.24,7.79,0.46,0.85,-1.11,0.02,-0.59,-0.06,-0.54,10.39,-6.38,0.43,2.60,0.05,0.05
0.23,-0.07,-0.08,-2.00,0.76,9.25,7.77,0.45,0.91,-1.11,0.03,-0.53,-0.03,-0.54,10.35,-6.39,0.40,2.59,0.05,0.05
0.21,-0.07,-0.08,-1.98,0.76,9.27,7.76,0.44,0.91,-1.11,0.03,-0.49,-0.03,-0.53,10.26,-6.43,0.35,2.58,0.05,0.05
0.21,-0.07,-0.08,-1.96,0.76,9.30,7.75,0.42,0.89,-1.11,0.04,-0.46,-0.01,-0.53,10.18,-6.45,0.30,2.57,0.05,0.05
0.20,-0.07,-0.08,-1.94,0.75,9.28,7.74,0.42,0.88,-1.11,0.04,-0.45,0.02,-0.53,10.15,-6.45,0.25,2.55,0.05,0.05
0.19,-0.08,-0.08,-1.94,0.75,9.26,7.73,0.41,0.87,-1.11,0.04,-0.44,0.04,-0.52,10.13,-6.45,0.21,2.54,0.05,0.05
0.19,-0.08,-0.08,-1.95,0.75,9.26,7.72,0.41,0.86,-1.11,0.04,-0.42,0.07,-0.52,10.10,-6.45,0.18,2.52,0.05,0.05
